Table 1
Farmacia;Nombre fantasía;RUT;RUT_SDV;Rut destinatario;Pais;Región;Comuna;Dirección;Telefono_fijo;Latitud;Longitud;Tipo;Horario;Proceso evaluacion;Venta Online;Despacho;Pagina Web
AHORROFARMA;Ahorrofarma;76781372-4;76781372;203513;Chile;Región Metropolitana de Santiago;Peñaflor;Av 21 De Mayo 4083;*Sin Información;-33,607040;-70,897681;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIA ARAUCOMED QUILICURA;Araucomed;76801318-7;76801318;203343;Chile;Región Metropolitana de Santiago;Quilicura;Septimo De Linea 209;*Sin Información;-33,361020;-70,714070;Farmacia Independiente;Lunes a Viernes de 09:30 a 14:00 horas y de 15:00 a 19:00 horas y Sábado de 10:00 a 13:00 horas;CONVENIO FIRMADO;0;;
BRUNOFARMA;Brunofarma;21222599-1;21222599;203475;Chile;XV Región de Arica y Parinacota;Arica;Lautaro N° 1042;*Sin Información;-18,480600;-70,310170;Farmacia Independiente;Lunes a Sábado de 09:00 a 16:00 horas;CONVENIO FIRMADO;0;;
ECO FARMACIAS;Eco Farmacias;79610730-8;79610730;203702;Chile;V Región de Valparaíso;Quilpué;Egaña N°268;322913224;-33,044200;-71,448960;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
Farmacias independientes FAMA Ltda.;Farmacia Fama;76824459-6;76824459;;Chile;V Región de Valparaíso;Hijuelas;Manuel Rodriguez 1496 L1;*Sin Información;-32,799780;-71,145970;Farmacia Independiente;Lunes a Viernes de 10:00 a 14:00 horas y de 17:00 a 21:00 horas y Sábado de 10:00 a 14:00 horas;CONVENIO FIRMADO;0;;
FARMABIEN;Farmabien;77008971-9;77008971;203432;Chile;Región Metropolitana de Santiago;Santiago;Dieciocho 690 Local 2;228148890;-33,452950;-70,658550;Farmacia Independiente;Lunes a Sábado de 10:00 a 14:00 horas y de 17:00 a 21:00 horas;EN PROCESO DE FIRMA;0;;
FARMACEUTICA CAROLINA CASTILLO SAN MARTIN E.I.R.L;Farmaceutica Carolina Castillo San Martin;76559533-9;76559533;203379;Chile;VII Región del Maule;Linares;Manuel Rodriguez 456 Local -1 Linares;*Sin Información;-35,846910;-71,597720;Farmacia Independiente;Lunes a Viernes de 09:30 a 14:30 horas y de 15:00 a 21:00 horas y Sábado de 09:30 a 21:00 horas;CONVENIO FIRMADO;0;;
Farmacéutica Chiloé;Farmacéutica Chiloé;76995330-2;76995330;203411;Chile;X Región de Los Lagos;Castro;Gamboa 421;*Sin Información;-42,481710;-73,765320;Farmacia Independiente;Lunes a Viernes de 09:00 a 23:00 horas y Sábado de de 10:00 a 23:00 horas;CONVENIO FIRMADO;0;;
FARMACEUTICA MANANTIAL LIMITADA;Farmaceutica Manantial;78237860-0;78237860;;Chile;VIII Región del Biobío;Santa Barbara;Arturo Prat 675;442884164;-37,670250;-72,020420;Farmacia Independiente;Lunes a Domingo (incluyendo festivos) de 08:30 a 21:30 horas;PENDIENTE;0;;
FARMACEUTICA MMT Y CIA LTDA;Farmaceutica Mmt;76445549-5;76445549;;Chile;VII Región del Maule;Talca;1 Norte 1410;*Sin Información;-35,426600;-71,656850;Farmacia Independiente;Lunes a Sábado de 10:00 a 21:00 horas;PENDIENTE;0;;
SOC. FARMACEUTICA SALAMANCA LTDA.;Farmaceutica Salamanca;76137697-7;76137697;203381;Chile;IV Región de Coquimbo;Salamanca;Manuel Bulnes 421-A;532553433;-31,781800;-70,963670;Farmacia Independiente;Lunes a Sábado de 09:00 a 13:30 horas y de 15:30 a 21:00 horas;CONVENIO FIRMADO;0;;
DERMAEXPRES SPA;Farmacia  Dermaexpres;76339142-6;76339142;;Chile;II Región de Antofagasta;Antofagasta;Salvador Reyes #1145;*Sin Información;-23,658890;-70,400690;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
